speed_kmh,slope,distance_km,energy_wh,wh_per_km,road_type
111.51,6.879,20.7575,12054.3168,580.7207969698375,1
48.61,-3.007,0.6429,4488.701,6981.766933465652,2
108.73,0.03,40.8428,11701.3769,286.49774685792966,1
38.58,8.272,5.3052,7389.2656,1392.8269509799154,2
57.17,2.777,5.8259,6761.2052,1160.5374973659964,1
27.12,1.019,2.5101,4319.0605,1720.6788118205748,3
76.86,8.582,10.101,9285.7251,919.284110507371,2
117.48,-3.6,8.9231,10154.3754,1137.9832628616084,3
72.42,2.097,17.4585,8734.982,500.3281735814086,3
42.94,4.786,32.9976,9139.6076,276.97801113420076,3
77.74,4.128,2.8093,9355.2963,3330.1379087804744,3
14.75,-1.036,43.0278,6935.7429,161.19228195483245,2
106.64,3.45,16.3963,9893.3718,603.3915081736736,1
60.37,5.628,30.3697,8731.1843,287.49650602267974,2
53.92,3.773,0.6991,7207.6051,10310.496414139774,2
70.3,5.267,18.3538,7948.398,433.06516831505684,1
74.97,-1.159,0.2023,8199.2432,40522.006613297555,3
8.61,7.493,8.3564,4371.9907,523.192704254342,1
81.91,1.745,22.4477,8607.4219,383.44275344830703,3
29.03,9.808,26.8009,7185.7721,268.11719715442354,2
85.67,-4.651,7.7311,8010.846,1036.1795302164007,1
98.7,0.705,37.2863,10104.1753,270.98900716012196,1
96.48,-2.293,9.5313,9575.6737,1004.6573731796793,3
66.3,3.334,5.8807,7300.779,1241.487599370136,1
62.42,-1.352,16.7379,8552.0359,510.93891540326206,2
17.15,6.062,27.6163,6100.8999,220.91670695154,1
93.04,8.228,49.4462,12824.0513,259.3536228303195,1
32.57,-1.837,20.9939,6626.0226,315.6163423579619,2
59.6,-2.59,21.3572,8658.945,405.4340662046947,3
34.11,8.13,3.0607,6282.4586,2052.5945655934033,1
16.06,0.419,38.3144,6920.1385,180.61455304215878,3
75.55,1.519,9.171,8303.3107,905.390493924043,1
6.52,-1.685,37.2657,7284.0219,195.46184053543942,2
89.84,1.38,45.5398,12052.7017,264.6631389194611,3
38.11,-1.53,38.4342,10303.5319,268.08227049859886,1
61.34,2.483,30.2354,7853.3291,259.739347714966,1
5.62,6.821,22.7363,6121.2194,269.2269384436943,2
33.14,-0.309,7.3127,6696.4082,915.7255261500932,2
84.84,2.584,38.964,9915.8021,254.48594183158116,1
7.52,-1.107,23.9184,3539.4926,147.98211236033234,1
100.72,9.017,31.3197,12143.7013,387.73331179521915,3
29.62,-2.398,10.1161,5443.4907,538.1036386896076,3
88.91,-0.909,40.3448,9151.0825,226.82201374429502,1
37.95,-3.756,17.1858,4791.2026,278.7892573185631,2
12.23,-4.583,43.3473,6568.4456,151.5305576540843,3
43.23,2.889,48.2897,9796.0156,202.85943188179934,3
32.45,0.057,41.5164,7086.778,170.6981642400036,2
101.13,9.457,6.4941,11147.6027,1716.5769649784506,3
37.6,-2.43,42.765,7057.3103,165.02520280526676,2
94.67,6.909,26.016,10611.6061,407.8883853473138,2
107.02,-0.26,12.1464,10361.0297,853.0096562782609,2
52.06,-1.647,4.7485,5350.5014,1126.7804718814857,1
109.19,9.545,13.9976,11752.3134,839.5924316213442,2
45.28,7.039,6.9576,5710.2111,820.7142838575326,3
115.69,4.459,1.3797,10277.9193,7449.577882255564,1
10.71,5.457,49.3894,7902.8315,160.01054802050925,2
82.44,9.871,41.594,11239.1577,270.2113052746087,2
59.26,3.898,36.9736,10582.4939,286.2178147555876,2
46.52,-3.471,9.7314,5529.5313,568.2161424610994,3
75.93,-4.027,1.484,9572.1653,6450.036245932939,1
84.46,4.999,24.3117,9312.3499,383.04026288915367,1
20.03,6.223,48.1456,9215.363,191.40619147366235,3
85.57,-3.368,42.2098,10001.2885,236.9423556118367,2
79.97,9.174,44.6858,10881.9855,243.52240254307478,1
115.93,3.267,12.0093,10481.4892,872.783125038071,2
91.32,4.743,7.8508,7826.7092,996.9354484643186,3
114.09,-4.477,12.4643,10228.1974,820.5987463373724,1
84.3,9.415,7.0151,8469.8742,1207.3748399961971,3
35.77,3.439,39.9443,8700.091,217.80533580406433,1
12.64,3.45,45.1618,7307.5121,161.80719559059642,1
93.82,9.153,15.4364,9224.4618,597.5798386076021,2
77.3,8.94,43.8586,10340.9691,235.77964551608454,3
5.78,-1.696,2.8463,4876.5723,1713.329087854887,1
43.21,8.966,33.9001,8588.989,253.36182566890378,1
114.82,6.049,26.4219,11596.9884,438.9155775617665,3
60.05,-4.716,13.9095,6746.0859,484.99877743137694,2
51.93,-1.402,38.4332,9137.62,237.75308201189299,3
54.92,1.195,10.6812,5527.2725,517.4787035912261,1
25.07,3.742,20.8659,6538.1696,313.3429341975952,3
44.24,5.52,35.522,9010.6261,253.66339160764883,2
44.38,-1.847,16.9776,8166.6802,481.02603532562665,2
6.28,7.551,42.7825,7278.2723,170.1227575526644,2
92.11,7.686,43.2848,12540.2427,289.7146441811679,2
49.98,4.525,10.2063,6835.3021,669.7161092225817,2
98.66,8.816,22.0755,9172.0398,415.48577401524676,2
102.04,7.195,21.6574,11443.2725,528.3762668430854,2
25.44,-1.676,20.5613,4361.6345,212.12883746915324,1
78.88,6.98,25.1484,8962.8411,356.3979283769777,3
56.67,9.298,3.8109,7965.7407,2090.2632995185286,2
105.62,-2.936,43.5155,12152.2006,279.2614594953854,3
25.89,9.68,14.5667,5579.4949,383.02956110376476,3
81.34,-4.625,0.1904,7275.3343,38203.077832696785,1
72.93,2.833,34.2867,9403.842,274.2709505279452,3
35.44,6.608,32.5586,7330.6887,225.15397926579362,3
16.39,6.857,49.1598,6700.8086,136.30668484479216,2
78.2,6.02,35.9904,10127.3592,281.3902905638462,2
88.63,2.94,16.702,9534.6683,570.868662525138,3
37.88,4.764,47.6356,9861.7241,207.02417650440614,2
77.38,5.499,18.3308,9215.7466,502.74778112476605,1
47.42,2.418,41.0801,9498.5274,231.21962053341323,3
85.58,3.935,16.8501,8806.7848,522.6536304147951,3
